Serial No.,GRE Score,TOEFL Score,CGPA,Label
241,296,101,7.68,-1
242,317,103,8.15,-1
243,324,115,8.76,-1
244,325,114,9.04,1
245,314,107,8.56,-1
246,328,110,9.02,1
247,316,105,8.73,-1
248,311,104,8.48,-1
249,324,110,8.87,1
250,321,111,8.83,1
251,320,104,8.57,-1
252,316,99,9,-1
253,318,100,8.54,-1
254,335,115,9.68,1
255,321,114,9.12,1
256,307,110,8.37,1
257,309,99,8.56,1
258,324,100,8.64,1
259,326,102,8.76,1
260,331,119,9.34,1
261,327,108,9.13,1
262,312,104,8.09,-1
263,308,103,8.36,-1
264,324,111,8.79,-1
265,325,110,8.76,1
266,313,102,8.68,-1
267,312,105,8.45,-1
268,314,107,8.17,-1
269,327,113,9.14,1
270,308,108,8.34,1
271,306,105,8.22,-1
272,299,96,7.86,-1
273,294,95,7.64,-1
274,312,99,8.01,-1
275,315,100,7.95,-1
276,322,110,8.96,1
277,329,113,9.45,1
278,320,101,8.62,-1
279,308,103,8.49,-1
280,304,102,8.73,-1
281,311,102,8.64,-1
282,317,110,9.11,1
283,312,106,8.79,1
284,321,111,8.9,1
285,340,112,9.66,1
286,331,116,9.26,1
287,336,118,9.19,1
288,324,114,9.08,1
289,314,104,9.02,1
290,313,109,9,1
291,307,105,7.65,-1
292,300,102,7.87,-1
293,302,99,7.97,-1
294,312,98,8.18,-1
295,316,101,8.32,-1
296,317,100,8.57,-1
297,310,107,8.67,1
298,320,120,9.11,1
299,330,114,9.24,1
300,305,112,8.65,-1
301,309,106,8,-1
302,319,108,8.76,-1
303,322,105,8.45,-1
304,323,107,8.55,-1
305,313,106,8.43,-1
306,321,109,8.8,-1
307,323,110,9.1,1
308,325,112,9,1
309,312,108,8.53,-1
310,308,110,8.6,-1
311,320,104,8.74,1
312,328,108,9.18,1
313,311,107,9,1
314,301,100,8.04,-1
315,305,105,8.13,-1
316,308,104,8.07,-1
317,298,101,7.86,-1
318,300,99,8.01,-1
319,324,111,8.8,1
320,327,113,8.69,1
321,317,106,8.5,1
322,323,104,8.44,-1
323,314,107,8.27,-1
324,305,102,8.18,-1
325,315,104,8.33,-1
326,326,116,9.14,1
327,299,100,8.02,-1
328,295,101,7.86,-1
329,324,112,8.77,1
330,297,96,7.89,-1
331,327,113,8.66,1
332,311,105,8.12,-1
333,308,106,8.21,1
334,319,108,8.54,-1
335,312,107,8.65,-1
336,325,111,9.11,1
337,319,110,8.79,-1
338,332,118,9.47,1
339,323,108,8.74,1
340,324,107,8.66,1
341,312,107,8.46,1
342,326,110,8.76,1
343,308,106,8.24,-1
344,305,103,8.13,-1
345,295,96,7.34,-1
346,316,98,7.43,-1
347,304,97,7.64,-1
348,299,94,7.34,-1
349,302,99,7.25,-1
350,313,101,8.04,-1
351,318,107,8.27,-1
352,325,110,8.67,-1
353,303,100,8.06,-1
354,300,102,8.17,-1
355,297,98,7.67,-1
356,317,106,8.12,-1
357,327,109,8.77,1
358,301,104,7.89,-1
359,314,105,7.64,-1
360,321,107,8.44,1
361,322,110,8.64,1
362,334,116,9.54,1
363,338,115,9.23,1
364,306,103,8.36,-1
365,313,102,8.9,1
366,330,114,9.17,1
367,320,104,8.34,-1
368,311,98,7.46,-1
369,298,92,7.88,-1
370,301,98,8.03,-1
371,310,103,8.24,-1
372,324,110,9.22,1
373,336,119,9.62,1
374,321,109,8.54,1
375,315,105,7.65,-1
376,304,101,7.66,-1
377,297,96,7.43,-1
378,290,100,7.56,-1
379,303,98,7.65,-1
380,311,99,8.43,-1
381,322,104,8.84,1
382,319,105,8.67,-1
383,324,110,9.15,1
384,300,100,8.26,-1
385,340,113,9.74,1
386,335,117,9.82,1
387,302,101,7.96,-1
388,307,105,8.1,-1
389,296,97,7.8,-1
390,320,108,8.44,1
391,314,102,8.24,-1
392,318,106,8.65,-1
393,326,112,9.12,1
394,317,104,8.76,1
395,329,111,9.23,1
396,324,110,9.04,1
397,325,107,9.11,1
398,330,116,9.45,1
399,312,103,8.78,-1
400,333,117,9.66,1
